glossary@key,locale,value,key
choose-recipient-title,en-US,With whom would you like to start a conversation?,choose-recipient-title-en-US
conversation-beginning-message,en-US,Break the ice and start a conversation,conversation-beginning-message-en-US
conversation-menu.add-user,en-US,Add user,conversation-menu.add-user-en-US
conversation-menu.remove-user,en-US,Remove user,conversation-menu.remove-user-en-US
conversation-menu.rename-group,en-US,Rename group,conversation-menu.rename-group-en-US
conversation-menu.archive-group,en-US,Archive group,conversation-menu.archive-group-en-US
conversation-menu.leave-group,en-US,Leave group,conversation-menu.leave-group-en-US
input.message.placeholder,en-US,Insert your message here,input.message.placeholder-en-US
message-menu.edit,en-US,Edit,message-menu.edit-en-US
message-menu.edit,de-DE,Bearbeiten,message-menu.edit-de-DE
message-menu.delete,en-US,Delete,message-menu.delete-en-US
message-menu.delete,de-DE,Löschen,message-menu.delete-de-DE
add-members-screen-title,en-US,Add users to the group,add-members-screen-title-en-US
remove-members-screen-title,en-US,Remove users from the group,remove-members-screen-title-en-US
input.group-title.placeholder,en-US,Group name,input.group-title.placeholder-en-US
chat-title,de-DE,Nachrichtenzentrum,chat-title-de-DE
no-conversation-selected-message,de-DE,Brich das Eis und starte eine Unterhaltung,no-conversation-selected-message-de-DE
choose-recipient-title,de-DE,Mit wem möchtest Du eine Unterhaltung starten?,choose-recipient-title-de-DE
conversation-beginning-message,de-DE,Brich das Eis und starte eine Unterhaltung,conversation-beginning-message-de-DE
conversation-menu.add-user,de-DE,Nutzer hinzufügen,conversation-menu.add-user-de-DE
conversation-menu.remove-user,de-DE,Benutzer entfernen,conversation-menu.remove-user-de-DE
conversation-menu.rename-group,de-DE,Gruppe umbenennen,conversation-menu.rename-group-de-DE
conversation-menu.archive-group,de-DE,Gruppe archivieren,conversation-menu.archive-group-de-DE
conversation-menu.leave-group,de-DE,Gruppe verlassen,conversation-menu.leave-group-de-DE
input.message.placeholder,de-DE,Gib hier Deine Nachricht ein,input.message.placeholder-de-DE
add-members-screen-title,de-DE,Benutzer zur Gruppe hinzufügen,add-members-screen-title-de-DE
remove-members-screen-title,de-DE,Benutzer aus der Gruppe entfernen,remove-members-screen-title-de-DE
input.group-title.placeholder,de-DE,Name der Unterhaltung,input.group-title.placeholder-de-DE
reset-requested,en-US,Reset requested,reset-requested-en-US
reset-requested,de-DE,Zurücksetzen angefordert,reset-requested-de-DE
title_invite-new-user,en-US ,Invite new user,title_invite-new-user-en-US
title_invite-new-user,de-DE ,Neue Benutzer einladen,title_invite-new-user-de-DE
input.confirm-password.placeholder,de-DE,Wiederhole das neue Passwort,input.confirm-password.placeholder-de-DE
input.confirm-password.placeholder,en-US,Repeat new password,input.confirm-password.placeholder-en-US
input.set-password.placeholder,de-DE,Neues Kennwort,input.set-password.placeholder-de-DE
input.set-password.placeholder,en-US,New password,input.set-password.placeholder-en-US
email-confirmation-error,en-US,Your email confirmation link is invalid or already expired,email-confirmation-error-en-US
email-confirmation-error,de-DE,Ihr E-Mail-Bestätigungslink ist ungültig oder bereits abgelaufen,email-confirmation-error-de-DE
go-to-registration,en-US,create account,go-to-registration-en-US
go-to-registration,de-DE,Benutzerkonto erstellen,go-to-registration-de-DE
go-to-registration-subheading,en-US,"Start using ROQ One from today, sign up in second by clicking button below",go-to-registration-subheading-en-US
go-to-registration-subheading,de-DE,"Beginnen Sie ab heute mit der Verwendung von ROQ One, melden Sie sich als Zweiter an, indem Sie auf die Schaltfläche unten klicken",go-to-registration-subheading-de-DE
go-to-login,en-US,back to sign in,go-to-login-en-US
go-to-login,de-DE,zurück zum Anmelden,go-to-login-de-DE
user-updated-successfully,en-US,User updated successfully,user-updated-successfully-en-US
user-updated-successfully,de-DE,Benutzer erfolgreich aktualisiert,user-updated-successfully-de-DE
conversation-owner,en-US,admin,conversation-owner-en-US
conversation-owner,de-DE,admin,conversation-owner-de-DE
array-contain,en-US,{{each}} {{property}} must contain {{constraints.0}} values,array-contain-en-US
array-max-size,en-US,{{each}} {{property}} must contain not more than {{constraints.0}},array-max-size-en-US
array-min-size,en-US,{{each}} {{property}} must contain at least {{constraints.0}},array-min-size-en-US
array-not-contains,en-US,{{each}} {{property}} should not contain {{constraints.0}} values,array-not-contains-en-US
array-not-empty,en-US,{{each}} {{property}} should not be empty,array-not-empty-en-US
array-unique,en-US,{{each}} All {{property}}'s elements must be unique,array-unique-en-US
should-allow,en-US,{{property}} allowed {{value}},should-allow-en-US
equals,en-US,{{each}} {{property}} should not be equal to {{constraints.0}},equals-en-US
is-defined,en-US,{{each}} {{property}} should not be null or undefined,is-defined-en-US
is-empty,en-US,{{each}} {{property}} must be empty,is-empty-en-US
is-in,en-US,{{each}} {{property}} must be one of the following values: {{constraints.0}},is-in-en-US
is-not-empty,en-US,{{each}} {{property}} should not be empty,is-not-empty-en-US
is-not-in,en-US,{{each}} {{property}} should not be one of the following values: {{constraints.0}},is-not-in-en-US
is-optional,en-US,{{property}} is optional,is-optional-en-US
not-equals,en-US,{{each}} {{property}} should not be equal to {{constraints.0}},not-equals-en-US
validate,en-US,{{property}} Resolve promise before validation,validate-en-US
validate-by,en-US,{{property}} is not validated  {{options}},validate-by-en-US
validate-if,en-US,{{property}} is ignored,validate-if-en-US
validate-nested,en-US,{{each}} {{property}} must be either object or array,validate-nested-en-US
validate-promise,en-US,{{property}} Resolve promise before validation,validate-promise-en-US
max-date,en-US,maximal allowed date for {{each}} {{property}} is {{constraints.0}},max-date-en-US
min-date,en-US,minimal allowed date for {{each}} {{property}} is {{constraints.0}},min-date-en-US
is-divisible-by,en-US,{{each}} {{property}} must be divisible by {{constraints.0}},is-divisible-by-en-US
is-negative,en-US,{{each}} {{property}} must be a negative number,is-negative-en-US
is-positive,en-US,{{each}} {{property}} must be a positive number,is-positive-en-US
max,en-US,{{each}} {{property}} must not be greater than {{constraints.0}},max-en-US
min,en-US,{{each}} {{property}} must not be less than {{constraints.0}},min-en-US
is-instance,en-US,{{property}} is not instance of the specified object,is-instance-en-US
is-not-empty-object,en-US,{{property}} should not be an empty object,is-not-empty-object
contains,en-US,{{each}} {{property}} must contain a {{constraints.0}} string,contains-en-US
is-alpha,en-US,{{each}} {{property}} must contain only letters (a-zA-Z),is-alpha-en-US
is-alpha-numeric,en-US,{{each}} {{property}} must contain only letters and numbers,is-alpha-numeric-en-US
is-ascii,en-US,{{each}} {{property}} must contain only ASCII characters,is-ascii-en-US
is-base-32,en-US,{{each}} {{property}} must be base32 encoded,is-base-32-en-US
is-base-64,en-US,{{each}} {{property}} must be base64 encoded,is-base-64-en-US
is-bic,en-US,{{each}} {{property}} must be a BIC or SWIFT code,is-bic-en-US
is-boolean-string,en-US,{{each}} {{property}} must be a boolean string,is-boolean-string-en-US
is-btc-address,en-US,{{each}} {{property}} must be a BTC address,is-btc-address-en-US
is-byte-length,en-US,{{each}} {{property}} byte length must fall into ({{constraints.0}} - {{constraints.1}}) range,is-byte-length-en-US
is-credit-card,en-US,{{each}} {{property}} must be a credit card,is-credit-card-en-US
is-data-uri,en-US,{{each}} {{property}} must be a data uri format,is-data-uri-en-US
is-currency,en-US,{{each}} {{property}} must be a currency,is-currency-en-US
is-date-string,en-US,{{each}} {{property}} must be a valid ISO 8601 date string,is-date-string-en-US
is-decimal,en-US,{{each}} {{property}} is not a valid decimal number.,is-decimal-en-US
is-ean,en-US,{{each}} {{property}} must be an EAN (European Article Number),is-ean-en-US
is-email,en-US,{{each}} {{property}} must be an email,is-email-en-US
is-firebase-push-id,en-US,{{each}} {{property}} must be a Firebase Push Id,is-firebase-push-id-en-US
is-fqdn,en-US,{{each}} {{property}} must be a valid domain name,is-fqdn-en-US
is-full-width,en-US,{{each}} {{property}} must contain a full-width characters,is-full-width-en-US
is-half-width,en-US,{{each}} {{property}} must contain a half-width characters,is-half-width-en-US
is-hash,en-US,{{each}} {{property}} must be a hash of type {{constraints.0}},is-hash-en-US
is-hexa-decimal,en-US,{{each}} {{property}} must be a hexadecimal number,is-hexa-decimal-en-US
is-hex-color,en-US,{{each}} {{property}} must be a hexadecimal color,is-hex-color-en-US
is-hsl,en-US,{{each}} {{property}} must be a HSL color,is-hsl-en-US
is-iban,en-US,{{each}} {{property}} must be an IBAN,is-iban-en-US
is-ip,en-US,{{each}} {{property}} must be an ip address,is-ip-en-US
is-isbn,en-US,{{each}} {{property}} must be an ISBN,is-isbn-en-US
is-isin,en-US,{{each}} {{property}} must be an ISIN,is-isin-en-US
is-json,en-US,{{each}} {{property}} must be a json string,is-json-en-US
is-jwt,en-US,{{each}} {{property}} must be a JWT string,is-jwt-en-US
is-locale,en-US,{{each}} {{property}} must be a locale,is-locale-en-US
is-lower-case,en-US,{{each}} {{property}} must be a lower case string,is-lower-case-en-US
is-magnet-uri,en-US,{{each}} {{property}} must be magnet uri format,is-magnet-uri-en-US
is-military-time,en-US,{{each}} {{property}} must be a valid representation of military time in the format HH:MM,is-military-time-en-US
is-mime-type,en-US,{{each}} {{property}} must be  MIME type format,is-mime-type-en-US
is-mongo-id,en-US,{{each}} {{property}} must be a mongodb id,is-mongo-id-en-US
is-mobile-phone,en-US,{{each}} {{property}} must be a phone number,is-mobile-phone-en-US
is-multi-byte,en-US,{{each}} {{property}} must contain one or more multibyte chars,is-multi-byte-en-US
is-number-string,en-US,{{each}} {{property}} must be a number string,is-number-string-en-US
is-octal,en-US,{{each}} {{property}} must be valid octal number,is-octal-en-US
is-passport-number,en-US,{{each}} {{property}} must be valid passport number,is-passport-number-en-US
is-phone-number,en-US,{{each}} {{property}} must be a valid phone number,is-phone-number-en-US
is-port,en-US,{{each}} {{property}} must be a port,is-port-en-US
is-postal-code,en-US,{{each}} {{property}} must be a postal code,is-postal-code-en-US
is-rfc-3339,en-US,{{each}} {{property}} must be RFC 3339 date,is-rfc-3339-en-US
is-rgb-color,en-US,{{each}} {{property}} must be a rgb color,is-rgb-color-en-US
is-sem-ver,en-US,{{each}} {{property}} must be a Semantic Versioning Specification,is-sem-ver-en-US
is-surrogate-pair,en-US,{{each}} {{property}} must contain any surrogate pairs chars,is-surrogate-pair-en-US
is-upper-case,en-US,{{each}} {{property}} must contain an uppercase string,is-uppser-case-en-US
is-url,en-US,{{each}} {{property}} must be an URL,is-url-en-US
is-uuid,en-US,{{each}} {{property}} must be a UUID,is-uuid-en-US
is-variable-width,en-US,{{each}} {{property}} must contain a full-width and half-width characters,is-variable-width-en-US
length,en-US,{{each}} {{property}} doesn't length falls in a range ({{min}} - {{max}}),length-en-US
matches,en-US,{{each}} {{property}} must match {{constraints.0}} regular expression,matches-en-US
max-length,en-US,{{each}} {{property}} must be shorter than or equal to {{constraints.0}} characters,max-length-en-US
min-length,en-US,{{each}} {{property}} must be higher than or equal to {{constraints.0}} characters,min-length-en-US
not-contains,en-US,{{each}} {{property}} must contain a {{constraints.0}} string,not-contains-en-US
is-ethereum-address,en-US,{{each}} {{property}} must be an Ethereum address,is-ethereum-address-en-US
is-array,en-US,{{each}} {{property}} must be an array,is-array-en-US
is-boolean,en-US,{{each}} {{property}} must be a boolean value,is-boolean-en-US
is-date,en-US,{{each}} {{property}} must be a Date instance,is-date-en-US
is-enum,en-US,{{each}} {{property}} must be a valid enum value,is-enum-en-US
is-int,en-US,{{each}} {{property}} must be an integer number,is-int-en-US
is-number,en-US,{{each}} {{property}} must be a number conforming to the specified constraints,is-number-en-US
is-object,en-US,{{each}} {{property}} must be an object,is-object-en-US
is-string,en-US,{{each}} {{property}} must be a string,is-string-en-US
event-type-not-found,en-US,EventType with id {{id}} not found,event-type-not-found-en-US
event-subscriber-not-found,en-US,EventSubscriber with id {{id}} not found,event-subscriber-not-found-en-US
deployment-info-not-found,en-US,There is no deployment info,deployment-info-not-found-en-US
conversation-user-not-found,en-US,ConversationUser with id {{id}} not found,conversation-user-not-found-en-US
ws-auth-failure,en-US,Auth Failed,ws-auth-failure-en-US
conversation-not-found,en-US,Conversation with id {{id}} not found,conversation-not-found-en-US
message-status-not-found,en-US,MessageStatus with id {{id}} not found,message-status-not-found-en-US
message-not-found,en-US,Message with id {{id}} not found,message-not-found-en-US
ws-validation-failed,en-US,Validation Failed,ws-validation-failed-en-US
glossary-not-found,en-US,Glossary with id {{id}} not found,glossary-not-found-en-US
glossary-value-not-found,en-US,GlossaryValue with id {{id}} not found,glossary-value-not-found-en-US
glossary-key-already-exists,en-US,The requested operation violates unique constraint on key column. {{details}},glossary-key-already-exists-en-US
glossary-value-already-exists,en-US,A translation for this locale and this key already exists,glossary-value-already-exists-en-US
event-example-data-not-found,en-US,EventExampleData with id {{id}} not found,event-example-data-not-found-en-US
event-record-not-found,en-US,EventRecord with id {{id}} not found,event-record-not-found-en-US
invalid-credentials,en-US,Credentials are wrong,invalid-credentials-en-US
invalid-token,en-US,Token provided is wrong,invalid-token-en-US
missing-auth,en-US,Authorization header is not passed,missing-auth-en-US
invalid-auth-header,en-US,Authorization header type is not supported,invalid-auth-header-en-US
disallowed-domain,en-US,{{domain}} is not allowed,disallowed-domain-en-US
invalid-mail-type,en-US,Invalid mailType provided,invalid-mail-type-en-US
invalid-recipient,en-US,Recipient does not exist,invalid-recipient-en-US
mail-type-not-found,en-US,MailType with id {{id}} not found,mail-type-not-found-en-US
notification-type-channel-user-not-found,en-US,NotificationTypeChannelUser with id {{id}} not found,notification-type-channel-user-not-found
notification-type-channel-not-found,en-US,NotificationTypeChannel with id {{id}} not found,notification-type-channel-not-found-en-US
notification-type-not-found,en-US,NotificationType with id {{id}} not found,notification-type-not-found-en-US
notification-user-not-found,en-US,NotificationUser with id {{id}} not found,notificaiton-user-not-found-en-US
notification-not-found,en-US,Notification with id {{id}} not found,notification-not-found-en-US
user-not-authenticated,en-US,Action could not be complete without authenticated userId,user-not-authenticated-en-US
notification-and-user-not-found,en-US,Notification with id {{id}} and notificationUserId {{notificationUserId}} not found,notification-and-user-not-found-en-US
user-invitation-not-found,en-US,UserInvite with id {{id}} not found,user-invitation-not-found-en-US
user-provider-not-found,en-US,UserProvider with id {{id}} not found,user-provider-not-found-en-US
user-token-not-found,en-US,UserToken with id {{id}} not found,user-token-not-found-en-US
user-token-not-found-in-db,en-US,There is no such token in db,user-token-not-found-in-db-en-US
user-not-found,en-US,User with id {{id}} not found,user-not-found-en-US
invalid-user-token,en-US,User with id {{id}} not found,invalid-user-token-en-US
expired-user-token,en-US,Token has been expired,expired-user-token-en-US
user-invite-acceptance-failed,en-US,Unable to accept because invite is already {{userInviteStatus}},user-invite-acceptance-failed-en-US
bulk-user-invite-limit-exceeded,en-US,Only {{maxAllowed}} can be invited at once,bulk-user-invite-limit-exceeded-en-US
user-invite-resending-failed,en-US,Unable to resend because invite is already {{userInviteStatus}},user-invite-resending-failed-en-US
user-invite-cancellation-failed,en-US,Unable to cancel user invite because invite is already {{userInviteStatus}},user-invite-cancellation-failed-en-US
user-already-exists,en-US,The user with the email address {{email}} already exists,user-already-exists-en-US
user-already-invited,en-US,{{email}} has already been invited,user-already-invited-en-US
user-invite-already-accepted,en-US,Invitation has already been accepted,user-invite-already-accepted-en-US
user-invite-already-sent,en-US,Invite has already been sent,user-invite-already-sent-en-US
file-status-update-failed,en-US,Can't set the status '{{status}}' for already uploaded file,file-status-update-failed-en-US
file-not-found,en-US,File with id {{id}} not found,file-not-found-en-US
file-not-completely-uploaded-status-update-failed,en-US,Can't set the status {{status}} for file that is not completely uploaded,file-not-completely-uploaded-status-update-failed-en-US
token,en-US,token,token-en-US
password,en-US,password,password-en-US
new-password,en-US,newPassword,new-password-en-US
provider-id,en-US,providerId,provider-id-en-US
provider-user-id,en-US,providerUserId,provider-user-id-en-US
avatar,en-US,avatar,avatar-en-US
event-type,en-US,eventType,event-type-en-US
consumer,en-US,consumer,consumer-en-US
parameters,en-US,parameters,parameters-en-US
order,en-US,order,order-en-US
sort,en-US,sort,sort-en-US
key,en-US,key,key-en-US
value,en-US,value,value-en-US
search,en-US,search,search-en-US
api,en-US,api,api-en-US
id,en-US,id,id-en-US
file-size,en-US,fileSize,file-size-en-US
file-type,en-US,fileType,file-type-en-US
custom-meta-data,en-US,customMetaData,custom-meta-data-en-US
path,en-US,path,path-en-US
user-login-history-id,en-US,userLoginHistoryId,user-login-history-id-en-US
avatar-image-identifier,en-US,avatarImageIdentifier,avatar-image-identifier-en-US
phone,en-US,phone,phone-en-US
phone,de-DE,Telefon,phone-de-DE
roq-identifier,en-US,roqIdentifier,roq-identifier-en-US
opted-in,en-US,optedIn,opted-in-en-US
sync,en-US,sync,sync-en-US
ip,en-US,ip,ip-en-US
host,en-US,host,host-en-US
timestamp,en-US,timestamp,timestamp-en-US
subscribe-to-mail,en-US,subscribeToMail,subscribe-to-mail-en-US
data,en-US,data,data-en-US
ids,en-US,ids,ids-en-US
message-id,en-US,messageId,message-id-en-US
conversation-user-id,en-US,conversationUserId,conversation-user-id-en-US
title,en-US,title,title-en-US
is-group,en-US,isGroup,is-group-en-US
archived,en-US,archived,archived-en-US
owner-id,en-US,ownerId,owner-id-en-US
owner-ids,en-US,ownerIds,owner-ids-en-US
member-ids,en-US,memberIds,member-ids-en-US
conversation-id,en-US,conversationId,conversation-id-en-US
message-status-id,en-US,messageStatusId,message-status-id-en-US
body,en-US,body,body-en-US
author-id,en-US,authorId,author-id-en-US
read,en-US,read,read-en-US
notified,en-US,notified,notified-en-US
user-ids,en-US,userIds,user-ids-en-US
time-range,en-US,timeRange,time-range-en-US
first-message,en-US,firstMessage,first-message-en-US
find-or-create,en-US,findOrCreate,find-or-create-en-US
conversation,en-US,conversation,conversation-en-US
filter,en-US,filter,filter-en-US
include-archived,en-US,includeArchived,include-archived-en-US
limit,en-US,limit,limit-en-US
offset,en-US,offset,offset-en-US
full-name,en-US,fullName,full-name-en-US
initials,en-US,initials,initials-en-US
total-count,en-US,totalCount,total-count-en-US
updated-at,en-US,updatedAt,updated-at-en-US
unread-count,en-US,unreadCount,unread-count-en-US
last-message,en-US,lastMessage,last-message-en-US
last-message-timestamp,en-US,lastMessageTimestamp,last-message-timestamp-en-US
mentioned-ids,en-US,mentionedIds,mentioned-ids-en-US
read-by,en-US,readBy,read-by-en-US
last-timestamp,en-US,lastTimestamp,last-timestamp-en-US
message-ids,en-US,messageIds,message-ids-en-US
member-id,en-US,memberId,member-id-en-US
is-online,en-US,isOnline,is-online-en-US
glossary-id,en-US,glossaryId,glossary-id-en-US
locales,en-US,locales,locales-en-US
glossary-value-id,en-US,glossaryValueId,glossary-value-id-en-US
content,en-US,content,content-en-US
entity-uuid,en-US,entityUUID,entity-uuid-en-US
entity-type,en-US,entityType,entity-type-en-US
meta-obj,en-US,metaObj,meta-obj-en-US
object,en-US,object,object-en-US
start-date,en-US,startDate,start-date-en-US
end-date,en-US,endDate,end-date-en-US
count,en-US,count,count-en-US
api-key,en-US,apiKey,api-key-en-US
api-secret,en-US,apiSecret,api-secret-en-US
access-token,en-US,accessToken,access-token-en-US
to,en-US,to,to-en-US
subject,en-US,subject,subject-en-US
mail-type,en-US,mailType,mail-type-en-US
entity-id,en-US,entityId,entity-id-en-US
directly-injected-variables,en-US,directlyInjectedVariables,directly-injected-variables-en-US
description,en-US,description,description-en-US
template-id,en-US,templateId,template-id-en-US
payload,en-US,payload,payload-en-US
notification-type-id,en-US,notificationTypeId,notification-type-id-en-US
notification-user-id,en-US,notificationUserId,notification-user-id-en-US
notifying-users,en-US,notifyingUsers,notifying-users-en-US
meta,en-US,meta,meta-en-US
link,en-US,link,link-en-US
notification-type-channel-id,en-US,notificationTypeChannelId,notification-type-channel-id-en-US
type,en-US,Type,type-en-US
type,de-DE,Typ,type-de-DE
sub-type,en-US,subType,sub-type-en-US
default-enabled,en-US,defaultEnabled,default-enabled-en-US
enabled,en-US,enabled,enabled-en-US
icon,en-US,icon,icon-en-US
default-active,en-US,defaultActive,default-active-en-US
active,en-US,active,active-en-US
active,de-DE,aktiv,active-de-DE
invited,en-US,invited,invited-en-US
invited,de-DE,eingeladen,invited-de-DE
document-owner-id,en-US,documentOwnerId,document-owner-id-en-US
status,en-US,status,status-en-US
content-type,en-US,contentType,content-type-en-US
expires-at,en-US,expiresAt,expires-at-en-US
file-max-size,en-US,fileMaxSize,file-max-size-en-US
session-id,en-US,sessionId,session-id-en-US
config,en-US,config,config-en-US
user-provider-id,en-US,userProviderId,user-provider-id-en-US
user-invite-id,en-US,userInviteId,user-invite-id-en-US
user-token-id,en-US,userTokenId,user-token-id-en-US
provider-identifier,en-US,providerIdentifier,provider-identifier-en-US
provider-user-identifier,en-US,providerUserIdentifier,provider-user-identifier-en-US
keep-logged-in,en-US,keepLoggedIn,keep-logged-in-en-US
valid-till,en-US,validTill,valid-till-en-US
user-email-already-exists,en-US,The user with current email exists,user-email-already-exists-en-US
user-email-already-exists,de-DE,Der Benutzer mit der aktuellen E-Mail existiert,user-email-already-exists-de-DE
user-incorrect-email-password,en-US,The email/password you entered are not correct,user-incorrect-email-password-en-US
user-incorrect-email-password,de-DE,Die Zugangsdaten sind nicht korrekt.,user-incorrect-email-password-de-DE
user-invalid-token,en-US,Token is not valid,user-invalid-token-en-US
invalid-user-password,en-US,Invalid password,invalid-user-password-en-US
user-not-confirmed,en-US,User is not confirmed,user-not-confirmed-en-US
user-email-not-provided,en-US,No email provided,user-email-not-provided-en-US
user-invalid-current-password,en-US,Invalid current password,user-invalid-current-password-en-US
user-invalid-current-password,de-DE,Ungültiges aktuelles Passwort,user-invalid-current-password-de-DE
invalid-api-key,en-US,Invalid api key,invalid-api-key-en-US
default-locale-undefined,en-US,Default locale {{defaultLocale}} undefined,default-locale-undefined-en-US
user-login-history-not-found,en-US,UserLoginHistory with id {{id}} not found,user-login-history-not-found-en-US
user-max-allowed,en-US,Only {{maxAllowed}} can be invited at once,user-max-allowed-en-US
unauthorized-exception,en-US,{{message}},unauthorized-exception-en-US
internal-server-error,en-US,Internal server error,internal-server-error-en-US
generic-user-creation-failed,en-US,ROQ Platform Gateway is currently unavailable. Action: Create User,generic-user-creation-failed-en-US
generic-user-invite-acceptance-failed,en-US,ROQ Platform  is currently unavailable. Action: Accept User Invite,generic-user-invite-acceptance-failed-en-US
generic-user-invite-creation-failed,en-US,ROQ Platform Gateway is currently unavailable. Action: Create User Invite,generic-user-invite-creation-failed-en-US
generic-user-providers-deletion-failed,en-US,ROQ Platform Gateway is currently unavailable. Action: Delete User Providers,generic-user-providers-deletion-failed-en-US
generic-user-providers-fetching-failed,en-US,ROQ Platform Gateway is currently unavailable. Action: Get User Providers,generic-user-providers-fetching-failed-en-US
generic-user-refresh-token-creation-failed,en-US,Response from ROQ Platform Gateway is currently unavailable. Action: Create User Refresh Token,generic-user-refresh-token-creation-failed-en-US
generic-user-refresh-token-rotation-failed,en-US,ROQ Platform Gateway is currently unavailable. Action: Rotate Refresh Token,generic-user-refresh-token-rotation-failed-en-US
generic-user-refresh-token-verification-failed,en-US,ROQ Platform Gateway is currently unavailable. Action: Verify User Refresh Token,generic-user-refresh-token-verification-failed-en-US
generic-user-reset-password-token-fetching-failed,en-US,ROQ Platform Gateway is currently unavailable. Action: Reset Password Token,generic-user-reset-password-token-fetching-failed-en-US
generic-user-token-deletion-failed,en-US,ROQ Platform Gateway is currently unavailable. Action: Delete User Token,generic-user-token-deletion-failed-en-US
generic-user-validate-email-token-creation-failed,en-US,ROQ Platform Gateway is currently unavailable. Action: Create User Validate Email Token,generic-user-validate-email-token-creation-failed-en-US
generic-user-invite-cancellation-failed,en-US,ROQ Platform Gateway is currently unavailable. Action: Cancel User Invite,generic-user-invite-cancellation-failed-en-US
generic-valid-user-token-fetching-failed,en-US,ROQ Platform Gateway is currently unavailable. Action: Get Valid User Token,generic-valid-user-token-fetching-failed-en-US
generic-user-invite-fetching-failed,en-US,ROQ Platform Gateway is currently unavailable. Action: Get User Invite,generic-user-invite-fetching-failed-en-US
generic-user-invite-refresh-failed,en-US,ROQ Platform Gateway is currently unavailable. Action: Refresh User Invite,generic-user-invite-refresh-failed-en-US
graphql-validation-failed,en-US,Invalid Input,graphql-validation-failed-en-US
invalid-uuid,en-US,Provided argument should have been a valid uuid,invalid-uuid-en-US
mail-type-localized-not-found,en-US,MailTypeLocalized with id {{id}} not found,mail-type-localized-not-found-en-US
localized-mail-type-not-found,en-US,No localized mail type found,localized-mail-type-not-found
user-service-unreachable,en-US,ROQ Platform User is currently unavailable. Action: Get User,user-service-unreachable-en-US
data-service-unreachable,en-US,ROQ Platform Data is currently unavailable. Action: {{action}},data-service-unreachable-en-US
generic-file-creation-failed,en-US,ROQ Platform Gateway is currently unavailable. Action: Create File,generic-file-creation-failed-en-US
generic-file-fetching-failed,en-US,ROQ Platform Gateway is currently unavailable. Action: Get File,generic-file-fetching-failed-en-US
generic-file-updation-failed,en-US,ROQ Platform Gateway is currently unavailable. Action: Update File Status,generic-file-updation-failed-en-US
generic-health-check-failed,en-US,ROQ Platform Gateway is currently unavailable. Action: {{service}} Health Check,generic-health-check-failed-en-US
generic-platform-creation-failed,en-US,ROQ Platform Gateway is currently unavailable. Action: Create Platform Token,generic-platform-creation-failed-en-US
notification-type-category_onboarding,en-US,Onboarding,notification-type-category_onboarding-en-US
notification-type-category_onboarding,de-DE,Onboarding,notification-type-category_onboarding-de-DE
notification-type-category_files,en-US,Files,notification-type-category_files-en-US
notification-type-category_chat,en-US,Chat,notification-type-category_chat-en-US
notification-type-category_files,de-DE,Dateien,notification-type-category_files-de-DE
notification-type-category_chat,de-DE,Nachrichten,notification-type-category_chat-de-DE
notification-type_user-info,de-DE,Neu registierte Nutzer,notification-type_user-info-de-DE
notification-type_files-new,de-DE,Neu hochgeladene Dateien,notification-type_files-new-de-DE
notification-type_chat-new,de-DE,Neue Nachrichten,notification-type-chat_new-de-DE
notification-type_user-info,en-US,Newly joined users,notification-type_user-info-en-US
notification-type_files-new,en-US,Newly uploaded files,notification-type_files-new-en-US
notification-type_chat-new,en-US,New chat message,notification-type_chat-new-en-US
unauthorized,en-US,Unauthorized,unauthorized-en-US
unique-constraint-violated,en-US,This request is invalid as it violates an unique constraint,unique-constraint-violated-en-US
notification-mail-history-not-found,en-US,NotificationMailHistory with id {{id}} not found,notification-mail-history-not-found-en-US
notification-sms-history-not-found,en-US,NotificationSmsHistory with id {{id}} not found,notification-sms-history-not-found-en-US
notification-type-category-not-found,en-US,NotificationTypeCategory with id {{id}} not found,notification-type-category-not-found-en-US
notification-type-channel-mail-not-found,en-US,NotificationTypeChannelMail with id {{id}} not found,notification-type-channel-mail-not-found-en-US
notification-type-channel-sms-localized-not-found,en-US,NotificationTypeChannelSmsLocalized with id {{id}} not found,notification-type-channel-sms-localized-not-found-en-US
notification-type-channel-sms-not-found,en-US,NotificationTypeChannelSms with id {{id}} not found,notification-type-channel-sms-not-found-en-US
notification-type-channel-web-localized-not-found,en-US,NotificationTypeChannelWebLocalized with id {{id}} not found,notification-type-channel-web-localized-not-found-en-US
notification-type-channel-web-not-found,en-US,NotificationTypeChannelWeb with id {{id}} not found,notification-type-channel-web-not-found-en-US
notification-type-user-preference-not-found,en-US,NotificationTypeUserPreference with id {{id}} not found,notification-type-user-preference-not-found-en-US
notification-type-with-given-key-not-found,en-US,Notification Type with key {{key}} not found.,notification-type-with-given-key-not-found-en-US
notification-web-not-found,en-US,NotificationWeb with id {{id}} not found,notification-web-not-found-en-US
profile-update-success,en-US,Profile updated successfully,profile-update-success-en-US
profile-update-success,de-DE,Profil wurde aktualisiert,profile-update-success-de-DE
user-invites,en-US,User invites,user-invites-en-US
all-user-invites,en-US,See all user invites,all-user-invites-en-US
invite-user,en-US,Invite user,invite-user-en-US
created-at,en-US,Created At,created-at-en-US
invitation-status,en-US,Invitation status,invitation-status-en-US
invitation-status_pending,en-US,Pending,invitation-status_pending-en-US
invitation-status_accepted,en-US,Accepted,invitation-status_accepted-en-US
